graph	
10513	M
10514	C
10515	AW
10516	AH
10517	AM
10518	P
10519	D
10520	C
10521	AH
10522	B
10523	J
10524	C
10525	Y
10526	L
10527	AI
10528	BB
10529	Y
10530	G
10531	AP
10532	AX
10533	AG
10534	AE
10535	Z
10536	AR
10537	AU
10538	AO
10539	L
10540	G
10541	AU
10542	H
10543	AZ
10544	T
10545	BB
10546	K
10547	D
10548	G
10549	AU
10550	BG
10551	AE
10552	P
10553	AS
10554	AN
10555	AZ
10556	AH
10557	P
10558	AQ
10559	AO
10560	Y
10561	Z
10562	E
10563	AC
10564	Q
10565	R
10566	AY
10567	AZ
10568	AP
10569	AL
10570	F
10571	AU
10572	BF
10573	D
10574	BE
10575	Q
10576	AA
10577	K
10578	AY
10579	J
10580	N
10581	H
10582	AC
10583	G
10584	Z
10585	AJ
10586	AA
10587	F
10588	BA
10589	AN
10590	BA
10591	AC
10592	E
10593	BH
10594	AV
10595	AP
10596	AQ
10597	AM
10598	AI
10599	C
10600	D
10601	S
10602	W
10603	AC
10604	AP
10605	M
10606	AH
10607	L
10608	AV
10609	X
10610	Y
10611	W
10612	Z
10613	AH
10614	AB
10615	Q
10616	BE
10617	BF
10618	C
10619	AO
10620	AY
10621	AS
10622	BH
10623	B
10624	AS
10625	AL
10626	AQ
10627	BF
10628	Q
10629	P
10630	AH
10631	AV
10632	AJ
10633	AW
10634	F
10635	BD
10636	AT
10637	BH
10638	Y
10639	N
10640	C
10641	P
10642	S
10643	AC
10644	P
10645	AD
10646	D
10647	AF
10648	AG
10649	AF
10650	AS
10651	AS
10652	AK
10653	BC
10654	L
10655	S
10656	T
10657	U
10658	AR
10659	E
10660	AE
10661	AJ
10662	BD
10663	AF
10664	AY
10665	AK
10666	AV
10667	AK
10668	AB
10669	AG
10670	AE
10671	BE
10672	AH
10673	AW
10674	AL
10675	AJ
10676	AA
10677	AE
10678	AU
10679	O
10680	AI
10681	L
10682	Y
10683	AS
10684	AE
10685	AW
10686	L
10687	AO
10688	AK
10689	AV
10690	AJ
10691	Y
10692	P
10693	T
10694	AR
10695	AB
10696	U
10697	AU
10698	AM
10699	AN
10700	AQ
10701	AA
10702	D
10703	A
10704	A
10705	AV
10706	L
10707	AV
10708	Q
10709	AK
10710	AZ
10711	AX
10712	AI
10713	AD
10714	AE
10715	S
10716	K
10717	K
10718	A
10719	B
10720	Y
10721	G
10722	A
10723	AO
10724	BE
10725	F
10726	AP
10727	N
10728	F
10729	K
10730	P
10731	AO
10732	AZ
10733	H
10734	AG
10735	H
10736	H
10737	X
10738	AS
10739	AR
10740	AL
10741	X
10742	Y
10743	BH
10744	BD
10745	AU
10746	AY
10747	AU
10748	AX
10749	Y
10750	Q
10751	K
10752	AT
10753	AL
10754	O
10755	AK
10756	Z
10757	X
10758	E
10759	BD
10760	G
10761	BF
10762	AQ
10763	G
10764	U
10765	L
10766	BF
10767	AB
10768	BF
10769	W
10770	L
10771	AU
10772	Z
10773	R
10774	Y
10775	B
10776	AQ
10777	A
10778	AS
10779	K
10780	P
10781	BC
10782	Y
10783	AO
10784	BB
10785	F
10786	BC
10787	O
10788	BB
10789	BD
10790	AQ
10791	AS
10792	T
10793	AX
10794	AK
10795	AN
10796	AP
10797	R
10798	AN
10799	AS
10800	AW
10801	W
10802	AX
10803	AB
10804	N
10805	AD
10806	AS
10807	AB
10808	N
10809	N
10810	BC
10811	Y
10812	AM
10813	BC
10814	AN
10815	M
10816	AH
10817	B
10818	N
10819	P
10820	Q
10821	AR
10822	AI
10823	B
10824	AN
10825	AA
10826	AB
10827	AK
10828	AP
10829	AS
10830	T
10831	Y
10832	V
10833	BH
10834	V
10835	BA
10836	E
10837	BE
10838	AB
10839	X
10840	V
10841	AA
10842	B
10843	AO
10844	A
10845	R
10846	F
10847	Z
10848	J
10849	X
10850	G
10851	AN
10852	E
10853	X
10854	AC
10855	F
10856	AW
10857	AW
10858	AV
10859	AU
10860	C
10861	H
10862	AU
10863	AC
10864	BB
10865	AD
10866	D
10867	AN
10868	AG
10869	AU
10870	I
10871	AK
10872	AI
10873	AX
10874	BC
10875	AX
10876	AQ
10877	BC
10878	A
10879	W
10880	V
10881	B
10882	AB
10883	R
10884	AM
10885	AN
10886	U
10887	BG
10888	AF
10889	Q
10890	E
10891	Q
10892	J
10893	AO
10894	U
10895	N
10896	AO
10897	AG
10898	AU
10899	AF
10900	O
10901	AA
10902	BB
10903	W
10904	P
10905	AD
10906	F
10907	O
10908	AD
10909	AN
10910	X
10911	BC
10912	AV
10913	Z
10914	Z
10915	B
10916	AO
10917	AD
10918	AY
10919	N
10920	I
10921	E
10922	I
10923	P
10924	AQ
10925	BA
10926	AA
10927	BB
10928	AD
10929	AO
10930	J
10931	J
10932	H
10933	AD
10934	H
10935	BD
10936	I
10937	E
10938	B
10939	I
10940	AI
10941	G
10942	AC
10943	AZ
10944	BB
10945	J
10946	AC
10947	AS
10948	P
10949	T
10950	AH
10951	K
10952	AP
10953	AH
10954	W
10955	J
10956	R
10957	AL
10958	AO
10959	X
10960	C
10961	L
10962	AT
10963	AW
10964	AE
10965	N
10966	AU
10967	S
10968	R
10969	AD
10970	BA
10971	AK
10972	AB
10973	AQ
10974	AN
10975	C
10976	AJ
10977	Q
10978	W
10979	AG
10980	X
10981	AQ
10982	AM
10983	J
10984	G
10985	BG
10986	AC
10987	AI
10988	G
10989	BF
10990	AL
10991	AF
10992	X
10993	AM
10994	G
10995	W
10996	V
10997	AO
10998	V
10999	AO
11000	X
11001	K
11002	AA
11003	AT
11004	AA
11005	BF
11006	AR
11007	BG
11008	BB
11009	U
11010	AH
11011	B
11012	O
11013	H
11014	BH
11015	U
11016	AH
11017	AJ
11018	AQ
11019	AF
11020	AS
11021	M
11022	L
11023	U
11024	BA
11025	V
11026	M
11027	AX
11028	AK
11029	R
11030	AO
11031	BD
11032	BC
11033	AQ
11034	J
11035	N
11036	P
11037	BB
11038	AQ
11039	I
11040	P
11041	AD
11042	AO
11043	AU
11044	X
11045	AJ
11046	Q
11047	Q
11048	AM
11049	AT
11050	AW
11051	AT
11052	BF
11053	AY
11054	BD
11055	L
11056	BH
11057	G
11058	BA
11059	F
11060	AT
11061	BB
11062	W
11063	AK
11064	AN
11065	AL
11066	H
11067	AG
11068	BG
11069	AU
11070	E
11071	AO
11072	BB
11073	AH
11074	Q
11075	O
11076	AF
11077	Y
11078	BE
11079	Q
11080	F
11081	BE
11082	K
11083	AY
11084	AC
11085	BD
11086	BG
11087	E
11088	AU
11089	BG
11090	O
11091	J
11092	A
11093	AL
11094	X
11095	V
11096	H
11097	E
11098	H
11099	AT
11100	AC
11101	AR
11102	R
11103	BA
11104	AP
11105	I
11106	BA
11107	Y
11108	AH
11109	AP
11110	AN
11111	AI
11112	J
11113	AK
11114	BH
11115	AX
11116	AQ
11117	AG
11118	I
11119	AS
11120	AN
11121	D
11122	AU
11123	A
11124	AF
11125	BC
11126	AN
11127	P
11128	J
11129	BC
11130	G
11131	AB
11132	R
11133	L
11134	AW
11135	V
11136	AM
11137	S
11138	I
11139	T
11140	C
11141	AH
11142	AE
11143	F
11144	S
11145	AN
11146	A
11147	Y
11148	AL
11149	AI
11150	AN
11151	AJ
11152	BE
11153	X
11154	F
11155	Y
11156	BF
11157	R
11158	U
11159	AV
11160	AC
11161	AK
11162	O
11163	AM
11164	AI
11165	M
11166	R
11167	BF
11168	AW
11169	AM
11170	L
11171	X
11172	X
11173	AW
11174	AP
11175	G
11176	AH
11177	AO
11178	AP
11179	BA
11180	BC
11181	P
11182	AM
11183	AJ
11184	P
11185	AF
11186	AF
11187	BC
11188	F
11189	X
11190	X
11191	U
11192	BG
11193	V
11194	AY
11195	AA
11196	T
11197	AZ
11198	AE
11199	G
11200	W
11201	C
11202	AJ
11203	BH
11204	X
11205	P
11206	M
11207	H
11208	AP
11209	BH
11210	AZ
11211	Q
11212	AJ
11213	AC
11214	BA
11215	N
11216	BF
11217	AM
11218	W
11219	D
11220	AO
11221	X
11222	BA
11223	Y
11224	O
11225	AY
11226	Z
11227	B
11228	BF
11229	O
11230	AV
11231	AP
11232	K
11233	AJ
11234	AE
11235	AZ
11236	AN
11237	AN
11238	M
11239	A
11240	T
11241	X
11242	M
11243	G
11244	AF
11245	H
11246	AS
11247	AD
11248	AC
11249	AL
11250	AC
11251	AO
11252	AC
11253	AB
11254	Z
11255	BG
11256	K
11257	L
11258	AS
11259	AG
11260	AX
11261	K
11262	K
11263	AB
11264	L
11265	K
11266	G
11267	A
11268	BG
11269	A
11270	AH
11271	S
11272	Z
11273	W
11274	AS
11275	R
11276	L
11277	AT
11278	BB
11279	H
11280	F
11281	BE
11282	AG
11283	T
11284	AU
11285	G
11286	M
11287	AQ
11288	K
11289	AF
11290	AP
11291	AC
11292	BC
11293	AO
11294	L
11295	I
11296	M
11297	AS
11298	BC
11299	V
11300	A
11301	AS
11302	AF
11303	AC
11304	E
11305	K
11306	O
11307	G
11308	AR
11309	H
11310	AV
11311	Y
11312	R
11313	AL
11314	AB
11315	BB
11316	AL
11317	AY
11318	AP
11319	F
11320	BG
11321	X
11322	AY
11323	AB
11324	T
11325	E
11326	X
11327	AT
11328	K
11329	AJ
11330	E
11331	AA
11332	AZ
11333	AG
11334	G
11335	V
11336	Y
11337	E
11338	P
11339	AJ
11340	BA
11341	F
11342	BH
11343	C
11344	AR
11345	R
11346	K
11347	R
11348	M
11349	R
11350	AE
11351	V
11352	D
11353	AX
11354	W
11355	AL
11356	BC
11357	E
11358	I
11359	BH
11360	AU
11361	AD
11362	BD
11363	I
11364	C
11365	V
11366	AG
11367	AT
11368	AE
11369	G
11370	AC
11371	AH
11372	AJ
11373	F
11374	M
11375	BA
11376	Y
11377	AV
11378	AR
11379	B
11380	BC
11381	F
11382	AG
11383	BA
11384	E
11385	AR
11386	W
11387	C
11388	J
11389	AD
11390	AB
11391	T
11392	BD
11393	Q
11394	AX
11395	X
11396	J
11397	AZ
11398	BH
11399	V
11400	AS
11401	Y
11402	AV
11403	G
11404	AX
11405	BF
11406	AU
11407	BG
11408	AK
11409	AE
11410	M
11411	G
11412	U
11413	H
11414	E
11415	AP
11416	BE
11417	D
11418	D
11419	T
11420	BH
11421	AE
11422	AK
11423	A
11424	AN
11425	J
11426	AL
11427	S
11428	Q
11429	AX
11430	AR
11431	AG
11432	AV
11433	V
11434	R
11435	AD
11436	S
11437	AA
11438	D
11439	G
11440	BE
11441	Y
11442	Z
11443	AN
11444	Q
11445	U
11446	BG
11447	AW
11448	L
11449	I
11450	AB
11451	G
11452	AV
11453	AO
11454	W
11455	N
11456	AW
11457	AU
11458	AB
11459	AN
11460	U
11461	AB
11462	AQ
11463	AV
11464	AV
11465	AO
11466	S
11467	BH
11468	AX
11469	AJ
11470	W
11471	AD
11472	BH
11473	BF
11474	W
11475	AJ
11476	F
11477	BF
11478	AR
11479	S
11480	K
11481	AW
11482	H
11483	H
11484	W
11485	AK
11486	AT
11487	H
11488	BH
11489	E
11490	AP
11491	AF
11492	BG
11493	Y
11494	AU
11495	AD
11496	AP
11497	AM
11498	BA
11499	AK
11500	C
11501	BH
11502	BH
11503	AK
11504	AT
11505	BF
11506	H
11507	AY
11508	R
11509	AV
11510	H
11511	AY
11512	D
11513	J
11514	AD
11515	AF
11516	U
11517	AI
11518	Z
11519	K
11520	BD
11521	K
11522	BH
11523	AT
11524	BC
11525	AZ
11526	AF
11527	AJ
11528	K
11529	BB
11530	BB
11531	AB
11532	F
11533	H
11534	P
11535	K
11536	AX
11537	AE
11538	W
11539	Z
11540	AD
11541	BC
11542	AY
11543	L
11544	BE
11545	AY
11546	AC
11547	AX
11548	BC
11549	O
11550	J
11551	G
11552	M
11553	AP
11554	AP
11555	AZ
11556	A
11557	N
11558	AQ
11559	BB
11560	Z
11561	AF
11562	AN
11563	X
11564	BC
11565	AO
11566	AT
11567	BD
11568	BB
11569	S
11570	AP
11571	AX
11572	M
11573	A
11574	AO
11575	A
11576	T
11577	AW
11578	AX
11579	D
11580	X
11581	AQ
11582	AO
11583	BE
11584	AS
11585	AU
11586	O
11587	X
11588	Z
11589	X
11590	K
11591	AJ
11592	AW
11593	AC
11594	BH
11595	BG
11596	P
11597	AB
11598	R
11599	P
11600	E
11601	AG
11602	BD
11603	AJ
11604	AG
11605	T
11606	BC
11607	M
11608	B
11609	AP
11610	AG
11611	L
11612	Y
11613	AM
11614	AE
11615	AR
11616	AY
11617	AR
11618	AM
11619	H
11620	AA
11621	V
11622	AE
11623	AD
11624	I
11625	G
11626	A
11627	AR
11628	A
11629	AQ
11630	AT
11631	BA
11632	AF
11633	AH
11634	BH
11635	AY
11636	AU
11637	F
11638	X
11639	Y
11640	AZ
11641	B
11642	W
11643	AS
11644	AZ
11645	BG
11646	K
11647	K
11648	BF
11649	P
11650	H
11651	AF
11652	AW
11653	J
11654	AX
11655	AR
11656	C
11657	AA
11658	AB
11659	AA
11660	T
11661	K
11662	M
11663	S
11664	BE
11665	AN
11666	AO
11667	AZ
11668	AN
11669	AO
11670	BF
11671	AT
11672	T
11673	O
11674	P
11675	Y
11676	BH
11677	AU
11678	AL
11679	J
11680	BD
11681	AY
11682	AU
11683	AT
11684	AJ
11685	N
11686	D
11687	V
11688	AR
11689	P
11690	AW
11691	T
11692	AL
11693	BE
11694	F
11695	AP
11696	AX
11697	D
11698	AW
11699	L
11700	S
11701	T
11702	AE
11703	R
11704	S
11705	V
11706	M
11707	AI
11708	BB
11709	Y
11710	AR
11711	P
11712	AW
11713	R
11714	AF
11715	AD
11716	Y
11717	AB
11718	AR
11719	AQ
11720	AK
11721	S
11722	H
11723	X
11724	AZ
11725	AL
11726	I
11727	X
11728	J
11729	AI
11730	AJ
11731	BD
11732	BG
11733	Z
11734	AZ
11735	AJ
11736	T
11737	AC
11738	AA
11739	O
11740	B
11741	AD
11742	AC
11743	T
11744	AG
11745	AG
11746	AF
11747	U
11748	Z
11749	AK
11750	Q
11751	W
11752	U
11753	F
11754	AJ
11755	BH
11756	M
11757	H
11758	AA
11759	AO
11760	N
11761	AW
11762	Y
11763	S
11764	AX
11765	AW
11766	R
11767	W
11768	AA
11769	BD
11770	J
11771	BE
11772	A
11773	AD
11774	AP
11775	G
11776	AY
11777	AW
11778	AZ
11779	S
11780	G
11781	AW
11782	BG
11783	AH
11784	S
11785	N
11786	AJ
11787	BA
11788	AY
11789	AZ
11790	X
11791	M
11792	C
11793	AU
11794	B
11795	M
11796	E
11797	J
11798	AD
11799	AR
11800	P
11801	I
11802	BB
11803	AD
11804	AA
11805	U
11806	V
11807	AZ
11808	Y
11809	AD
11810	I
11811	X
11812	Q
11813	H
11814	AI
11815	Y
11816	AY
11817	AZ
11818	A
11819	AK
11820	N
11821	Y
11822	AG
11823	AI
11824	AG
11825	BF
11826	BC
11827	O
11828	AC
11829	AC
11830	B
11831	AP
11832	S
11833	H
11834	D
11835	BF
11836	BC
11837	AC
11838	G
11839	BG
11840	AZ
11841	AR
11842	AC
11843	U
11844	AQ
11845	BH
11846	BE
11847	BC
11848	L
11849	AK
11850	V
11851	N
11852	J
11853	BB
11854	AE
11855	AY
11856	AK
11857	S
11858	BF
11859	AD
11860	AA
11861	H
11862	X
11863	BD
11864	AB
11865	AB
11866	F
11867	I
11868	E
11869	AL
11870	AE
11871	W
11872	AT
11873	C
11874	AS
11875	AD
11876	BE
11877	L
11878	AZ
11879	AG
11880	B
11881	BH
11882	C
11883	AZ
11884	G
11885	AW
11886	AF
11887	Z
11888	AL
11889	M
11890	V
11891	AJ
11892	AF
11893	AL
11894	AF
11895	AS
11896	U
11897	AH
11898	BB
11899	O
11900	BC
11901	AV
11902	AX
11903	AI
11904	G
11905	BH
11906	AB
11907	G
11908	I
11909	A
11910	BB
11911	Y
11912	AB
11913	Z
11914	AC
11915	AA
11916	E
11917	AF
11918	AW
11919	AN
11920	BE
11921	AN
11922	AF
11923	BA
11924	P
11925	BC
11926	AY
11927	H
11928	AE
11929	A
11930	J
11931	X
11932	S
11933	AK
11934	AL
11935	N
11936	K
11937	AC
11938	AT
11939	H
11940	U
11941	Z
11942	Q
11943	AK
11944	S
11945	BF
11946	I
11947	G
11948	J
11949	F
11950	AN
11951	AW
11952	AS
11953	O
11954	S
11955	O
11956	P
11957	BF
11958	S
11959	L
11960	J
11961	U
11962	AK
11963	I
11964	AZ
11965	AE
11966	F
11967	AY
11968	AV
11969	O
11970	P
11971	AK
11972	AU
11973	AP
11974	S
11975	AE
11976	X
11977	BD
11978	AH
11979	S
11980	AU
11981	AS
11982	BG
11983	Y
11984	U
11985	U
11986	AM
11987	E
11988	R
11989	W
11990	BF
11991	N
11992	J
11993	AH
11994	BG
11995	A
11996	AW
11997	H
11998	AS
11999	AW
12000	AZ
12001	R
12002	S
12003	BC
12004	AX
12005	D
12006	C
12007	D
12008	BD
12009	AV
12010	AZ
12011	U
12012	X
12013	A
12014	Z
12015	Y
12016	V
12017	L
12018	AV
12019	AF
12020	AZ
12021	B
12022	AG
12023	Z
12024	Q
12025	C
12026	AA
12027	M
12028	AQ
12029	S
12030	AQ
12031	Q
12032	K
12033	AT
12034	AB
12035	AC
12036	Z
12037	D
12038	AJ
12039	R
12040	R
12041	AJ
12042	I
12043	AD
12044	AF
12045	AL
12046	AX
12047	J
12048	I
12049	AH
12050	AM
12051	AL
12052	T
12053	N
12054	BE
12055	AX
12056	AT
12057	BB
12058	AM
12059	AV
12060	AK
12061	AY
12062	U
12063	AL
12064	F
12065	AJ
12066	J
12067	AM
12068	AG
12069	BF
12070	BH
12071	R
12072	AK
12073	AE
12074	N
12075	Q
12076	BB
12077	C
12078	BB
12079	AN
12080	N
12081	Q
12082	D
12083	J
12084	AN
12085	E
12086	BE
12087	BF
12088	AW
12089	AL
12090	AQ
12091	AF
12092	Y
12093	AV
12094	AO
12095	AB
12096	O
12097	AE
12098	Y
12099	BE
12100	AB
12101	K
12102	AK
12103	L
12104	AI
12105	V
12106	A
12107	AX
12108	BH
12109	AN
12110	BE
12111	AQ
12112	BH
12113	BH
12114	AH
12115	U
12116	AU
12117	L
12118	BG
12119	A
12120	AM
12121	M
12122	AX
12123	BD
12124	O
12125	AB
12126	BA
12127	AW
12128	AX
12129	AU
12130	C
12131	W
12132	AM
12133	BF
12134	L
12135	C
12136	AN
12137	BA
12138	AJ
12139	R
12140	E
12141	G
12142	BF
12143	J
12144	AO
12145	A
12146	AF
12147	Z
12148	O
12149	U
12150	AO
12151	D
12152	AG
12153	X
12154	R
12155	O
12156	U
12157	AP
12158	BF
12159	G
12160	AC
12161	M
12162	A
12163	N
12164	AL
12165	AI
12166	E
12167	C
12168	AV
12169	AE
12170	AO
12171	BC
12172	AJ
12173	AO
12174	BE
12175	AF
12176	P
12177	AO
12178	O
12179	N
12180	BD
12181	AB
12182	AI
12183	AD
12184	G
12185	BG
12186	AX
12187	P
12188	AN
12189	BF
12190	AP
12191	BG
12192	BC
12193	AC
12194	AX
12195	AZ
12196	G
12197	AS
12198	AF
12199	G
12200	BD
12201	AD
12202	AL
12203	AR
12204	AN
12205	AT
12206	AB
12207	AZ
12208	AA
12209	AT
12210	BH
12211	AO
12212	AA
12213	AR
12214	K
12215	A
12216	AM
12217	AE
12218	G
12219	AN
12220	AS
12221	AX
12222	W
12223	AY
12224	AX
12225	AQ
12226	A
12227	G
12228	AZ
12229	E
12230	Z
12231	AE
12232	I
12233	I
12234	S
12235	Z
12236	AY
12237	AY
12238	AX
12239	V
12240	AE
12241	BG
12242	AW
12243	BC
12244	BF
12245	B
12246	AF
12247	K
12248	R
12249	AW
12250	N
12251	AJ
12252	AL
12253	BA
12254	V
12255	G
12256	G
12257	AU
12258	BC
12259	BF
12260	AS
12261	U
12262	A
12263	W
12264	U
12265	AC
12266	AF
12267	S
12268	Z
12269	AT
12270	K
12271	AV
12272	AP
12273	AT
12274	I
12275	AU
12276	B
12277	AC
12278	BB
12279	AV
12280	K
12281	AX
12282	AX
12283	C
12284	AY
12285	AX
12286	BA
12287	P
12288	AU
12289	L
12290	S
12291	D
12292	BE
12293	AZ
12294	AK
12295	K
12296	BF
12297	Z
12298	AH
12299	AC
12300	AD
12301	N
12302	AT
12303	AG
12304	AL
12305	AA
12306	BC
12307	BA
12308	AS
12309	AJ
12310	F
12311	AM
12312	BA
12313	G
12314	AV
12315	BD
12316	AF
12317	BF
12318	AF
12319	AE
12320	AK
12321	P
12322	AF
12323	N
12324	AA
12325	H
12326	AY
12327	AX
12328	J
12329	BG
12330	AW
12331	AJ
12332	BC
12333	Y
12334	S
12335	BF
12336	D
12337	Q
12338	Y
12339	Y
12340	BD
12341	A
12342	AF
12343	L
12344	G
12345	AO
12346	K
12347	AY
12348	E
12349	AP
12350	AM
12351	A
12352	BC
12353	D
12354	BA
12355	N
12356	AP
12357	AF
12358	G
12359	AE
12360	AJ
12361	E
12362	AR
12363	AU
12364	AV
12365	AD
12366	AR
12367	AC
12368	AV
12369	AY
12370	AZ
12371	P
12372	AH
12373	H
12374	AJ
12375	AJ
12376	AS
12377	U
12378	H
12379	AT
12380	BE
12381	A
12382	AT
12383	AB
12384	T
12385	AW
12386	AP
12387	AZ
12388	AG
12389	F
12390	P
12391	AG
12392	J
12393	BB
12394	AW
12395	AY
12396	R
12397	AT
12398	X
12399	AK
12400	BE
12401	AQ
12402	C
12403	N
12404	AX
12405	W
12406	AB
12407	AU
12408	AB
12409	Q
12410	AC
12411	U
12412	Y
12413	V
12414	AI
12415	AI
12416	S
12417	P
12418	AA
12419	BH
12420	AW
12421	BA
12422	BD
12423	AQ
12424	AI
12425	T
12426	G
12427	AN
12428	S
12429	AT
12430	S
12431	BH
12432	BF
12433	AF
12434	AX
12435	N
12436	BG
12437	AG
12438	AM
12439	BE
12440	V
12441	BC
12442	Y
12443	P
12444	AK
12445	BD
12446	H
12447	AW
12448	T
12449	N
12450	AF
12451	B
12452	S
12453	Y
12454	AV
12455	D
12456	AV
12457	U
12458	AN
12459	AE
12460	Q
12461	AV
12462	AB
12463	AQ
12464	BG
12465	AD
12466	X
12467	BB
12468	AG
12469	U
12470	AK
12471	AU
12472	AK
12473	AD
12474	AM
12475	BC
12476	AC
12477	AN
12478	F
12479	AM
12480	L
12481	S
12482	T
12483	F
12484	N
12485	Q
12486	AP
12487	AG
12488	AR
12489	AT
12490	AA
12491	AM
12492	BA
12493	I
12494	AO
12495	AH
12496	AA
12497	AQ
12498	R
12499	H
12500	AG
12501	O
12502	Q
12503	BG
12504	AL
12505	AS
12506	Z
12507	AW
12508	AU
12509	BA
12510	AJ
12511	H
12512	O
12513	A
12514	S
12515	BG
12516	AC
12517	W
12518	AC
12519	AP
12520	AW
12521	AY
12522	J
12523	AU
12524	BC
12525	BG
12526	BC
12527	AC
12528	AX
12529	F
12530	AC
12531	AU
12532	V
12533	BG
12534	G
12535	BF
12536	C
12537	U
12538	AC
12539	AD
12540	AZ
12541	BA
12542	AU
12543	AZ
12544	J
12545	S
12546	X
12547	AZ
12548	AX
12549	AQ
12550	E
12551	D
12552	N
12553	AK
12554	T
12555	AQ
12556	F
12557	AD
12558	E
12559	AM
12560	AY
12561	BE
12562	BG
12563	AO
12564	X
12565	AX
12566	AU
12567	Q
12568	BC
12569	V
12570	BE
12571	H
12572	BC
12573	BH
12574	AY
12575	BD
12576	D
12577	S
12578	AL
12579	AK
12580	AI
12581	C
12582	AM
12583	H
12584	A
12585	Z
12586	AG
12587	AT
12588	AM
12589	X
12590	BA
12591	AH
12592	Q
12593	AX
12594	AM
12595	BC
12596	BC
12597	F
12598	AB
12599	U
12600	AF
12601	G
12602	BF
12603	AC
12604	AU
12605	BF
12606	I
12607	O
12608	AT
12609	Y
12610	AM
12611	AU
12612	AZ
12613	AB
12614	D
12615	AV
12616	S
12617	AZ
12618	AO
12619	BG
12620	Q
12621	A
12622	AL
12623	AE
12624	AD
12625	X
12626	AZ
12627	F
12628	U
12629	BD
12630	B
12631	BF
12632	AZ
12633	R
12634	E
12635	AC
12636	F
12637	J
12638	V
12639	D
12640	Q
12641	S
12642	A
12643	O
12644	AS
12645	F
12646	AP
12647	AW
12648	AT
12649	AY
12650	AK
12651	C
12652	Z
12653	AC
12654	D
12655	AF
12656	AC
12657	AA
12658	BH
12659	W
12660	G
12661	D
12662	BB
12663	AX
12664	W
12665	AP
12666	BC
12667	AI
12668	X
12669	AJ
12670	AQ
12671	I
12672	AE
12673	AK
12674	AQ
12675	BG
12676	A
12677	X
12678	AU
12679	X
12680	AP
12681	C
12682	T
12683	AD
12684	T
12685	BG
12686	AF
12687	X
12688	N
12689	AH
12690	BH
12691	AN
12692	K
12693	BG
12694	BF
12695	M
12696	Y
12697	K
12698	AZ
12699	D
12700	K
12701	G
12702	Z
12703	K
12704	I
12705	AB
12706	AG
12707	AW
12708	AU
12709	E
12710	AE
12711	F
12712	AO
12713	AJ
12714	AP
12715	D
12716	AS
12717	X
12718	AD
12719	Y
12720	J
12721	AF
12722	U
12723	AY
12724	AK
12725	D
12726	BF
12727	AF
12728	AN
12729	AD
12730	AI
12731	AY
12732	AF
12733	AR
12734	N
12735	AJ
12736	AL
12737	J
12738	V
12739	AZ
12740	AA
12741	AR
12742	AK
12743	I
12744	C
12745	BC
12746	BG
12747	AJ
12748	R
12749	BB
12750	AC
12751	A
12752	AO
12753	AB
12754	BB
12755	AM
12756	AT
12757	AI
12758	AI
12759	E
12760	AE
12761	A
12762	J
12763	Q
12764	AE
12765	AO
12766	AH
12767	BF
12768	W
12769	F
12770	AA
12771	AJ
12772	C
12773	AM
12774	BG
12775	AA
12776	BC
12777	M
12778	AW
12779	AP
12780	E
12781	W
12782	O
12783	AT
12784	B
12785	AH
12786	J
12787	E
12788	AX
12789	AI
12790	AX
12791	C
12792	AI
12793	R
12794	V
12795	Z
12796	AI
12797	U
12798	AM
12799	W
12800	U
12801	B
12802	N
12803	L
12804	AB
12805	BA
12806	BG
12807	C
12808	AC
12809	AB
12810	AR
12811	AH
12812	AU
12813	BA
12814	BH
12815	I
12816	AT
12817	X
12818	P
12819	BE
12820	AE
12821	AD
12822	H
12823	AW
12824	Q
12825	X
12826	A
12827	AS
12828	Q
12829	AG
12830	BA
12831	AI
12832	AH
12833	AA
12834	V
12835	C
12836	J
12837	D
12838	S
12839	I
12840	AJ
12841	H
12842	AJ
12843	W
12844	AY
12845	P
12846	Q
12847	AQ
12848	R
12849	N
12850	AN
12851	K
12852	F
12853	AP
12854	AZ
12855	AZ
12856	BC
12857	Z
12858	BD
12859	D
12860	BA
12861	N
12862	AT
12863	BD
12864	AI
12865	J
12866	BH
12867	U
12868	AE
12869	BE
12870	BH
12871	AQ
12872	E
12873	G
12874	U
12875	W
12876	BB
12877	AT
12878	BF
12879	A
12880	H
12881	R
12882	AA
12883	D
12884	BB
12885	AP
12886	AD
12887	AZ
12888	AI
12889	AE
12890	I
12891	AR
12892	I
12893	O
12894	P
12895	W
12896	W
12897	AN
12898	AV
12899	AP
12900	Q
12901	BE
12902	L
12903	V
12904	O
12905	BF
12906	F
12907	BG
12908	U
12909	AC
12910	BF
12911	J
12912	AB
12913	BC
12914	BE
12915	AJ
12916	AU
12917	AQ
12918	C
12919	BA
12920	AN
12921	I
12922	AT
12923	A
12924	AW
12925	P
12926	AH
12927	AX
12928	AZ
12929	BG
12930	A
12931	N
12932	BF
12933	Q
12934	AS
12935	L
12936	F
12937	F
12938	AX
12939	BD
12940	AJ
12941	AF
12942	AE
12943	F
12944	AG
12945	BH
12946	Q
12947	N
12948	S
12949	AO
12950	AJ
12951	AO
12952	AK
12953	BC
12954	B
12955	I
12956	K
12957	L
12958	AG
12959	BH
12960	X
12961	Q
12962	H
12963	W
12964	AC
12965	AS
12966	L
12967	K
12968	K
12969	AT
12970	AD
12971	AP
12972	BA
12973	H
12974	R
12975	I
12976	AL
